iter	Passed	Remaining
0	138	137878
1	138	69319
2	139	46442
3	140	34976
4	141	28141
5	142	23540
6	142	20256
7	143	17790
8	144	15888
9	145	14359
10	145	13102
11	146	12064
12	147	11190
13	148	10431
14	149	9805
15	150	9235
16	150	8729
17	151	8279
18	152	7873
19	153	7511
20	154	7182
21	154	6885
22	155	6612
23	156	6356
24	156	6122
25	157	5909
26	158	5716
27	159	5531
28	160	5364
29	161	5206
30	161	5053
31	162	4923
32	163	4799
33	164	4676
34	165	4558
35	166	4448
36	166	4346
37	167	4248
38	168	4153
39	169	4063
40	170	3978
41	170	3896
42	171	3818
43	172	3743
44	173	3672
45	173	3604
46	174	3539
47	175	3480
48	176	3427
49	177	3373
50	178	3319
51	179	3269
52	180	3218
53	180	3170
54	181	3122
55	182	3076
56	183	3031
57	184	2988
58	184	2947
59	185	2912
60	186	2873
61	187	2835
62	188	2797
63	188	2761
64	189	2732
65	190	2700
66	191	2667
67	192	2634
68	193	2604
69	193	2574
70	194	2545
71	195	2517
72	196	2491
73	197	2465
74	197	2440
75	198	2415
76	199	2390
77	200	2366
78	200	2342
79	201	2320
80	202	2299
81	203	2277
82	204	2255
83	205	2237
84	205	2217
85	207	2200
86	207	2182
87	208	2164
88	209	2145
89	210	2127
90	211	2110
91	212	2092
92	212	2075
93	213	2059
94	214	2042
95	215	2026
96	215	2009
97	216	1994
98	217	1977
99	218	1964
100	219	1953
101	220	1939
102	221	1925
103	222	1913
104	222	1899
105	223	1885
106	224	1872
107	225	1859
108	225	1847
109	226	1834
110	227	1821
111	228	1809
112	228	1796
113	229	1784
114	230	1771
115	231	1760
116	231	1748
117	232	1740
118	233	1731
119	234	1722
120	235	1713
121	236	1702
122	237	1691
123	237	1680
124	238	1670
125	239	1660
126	240	1650
127	240	1641
128	241	1631
129	242	1622
130	243	1612
131	243	1603
132	244	1593
133	245	1584
134	245	1575
135	246	1566
136	247	1560
137	248	1553
138	249	1544
139	250	1536
140	250	1527
